subj,task,run,abs_mean,rel_mean,pct_removed
112314,WM,RL,0.500079,0.062407,0.285714
112920,WM,LR,0.121383,0.086405,0.319444
112920,WM,RL,0.110860,0.086351,0.354430
113215,WM,LR,0.181904,0.071970,0.411765
113215,WM,RL,0.335847,0.061576,0.444444
114823,WM,LR,0.946758,0.049850,0.469136
114823,WM,RL,0.707234,0.050841,0.448276
118124,WM,LR,0.438567,0.092120,0.319149
118124,WM,RL,0.532284,0.100324,0.333333
118528,WM,LR,0.318014,0.055831,0.564516
118528,WM,RL,0.197807,0.068282,0.546875
118932,WM,LR,0.214851,0.104648,0.472527
118932,WM,RL,0.572749,0.106651,0.470000
119126,WM,LR,0.386312,0.080579,0.477612
119126,WM,RL,0.296503,0.082432,0.428571
119732,WM,LR,0.450091,0.072148,0.309859
119732,WM,RL,0.630466,0.094032,0.395349
120515,WM,LR,0.299565,0.114364,0.467742
120515,WM,RL,0.220401,0.105236,0.476923
121416,WM,LR,0.439518,0.065555,0.469136
121416,WM,RL,0.528477,0.086761,0.545455
122317,WM,LR,0.373302,0.050384,0.434783
122317,WM,RL,0.400089,0.052500,0.438202
124624,WM,LR,0.176905,0.143833,0.369863
124624,WM,RL,0.170636,0.087919,0.435294
127327,WM,LR,0.616054,0.082492,0.325843
127327,WM,RL,0.530065,0.086356,0.420455
127630,WM,LR,0.186962,0.137114,0.573770
127630,WM,RL,0.194954,0.097331,0.575758
129634,WM,LR,0.906938,0.050340,0.358696
129634,WM,RL,1.294070,0.049492,0.360000
130922,WM,LR,0.320599,0.073332,0.280000
130922,WM,RL,0.743286,0.076828,0.353659
135225,WM,LR,0.463561,0.082224,0.487805
135225,WM,RL,0.622696,0.075647,0.402597
135629,WM,LR,1.172730,0.061607,0.500000
135629,WM,RL,0.879876,0.059266,0.695122
135932,WM,LR,0.367773,0.059634,0.426667
135932,WM,RL,0.607971,0.063830,0.446154
137633,WM,LR,0.464060,0.101040,0.602564
137633,WM,RL,0.409581,0.098665,0.600000
138231,WM,LR,0.196090,0.091566,0.677966
138231,WM,RL,0.286021,0.100348,0.620690
142828,WM,LR,0.224945,0.066467,0.389474
142828,WM,RL,0.627965,0.075120,0.444444
144832,WM,LR,0.930483,0.105787,0.545455
144832,WM,RL,0.914142,0.097140,0.480519
146533,WM,LR,0.199760,0.079597,0.385714
146533,WM,RL,0.235336,0.074377,0.300000
147737,WM,LR,0.605630,0.092697,0.450704
147737,WM,RL,0.195609,0.080661,0.432836
150019,WM,LR,0.405353,0.066865,0.283784
150019,WM,RL,0.684599,0.067154,0.305263
150625,WM,LR,0.494199,0.108982,0.390476
150625,WM,RL,0.923366,0.099438,0.557522
151021,WM,LR,0.648975,0.114226,0.646465
151021,WM,RL,0.564682,0.124067,0.683168
151627,WM,LR,0.482820,0.054464,0.403509
151627,WM,RL,0.548934,0.075128,0.530303
151829,WM,LR,0.425352,0.066210,0.411765
151829,WM,RL,0.503797,0.054096,0.457143
152427,WM,LR,0.388101,0.056033,0.349398
152427,WM,RL,0.717206,0.045922,0.274725
153025,WM,LR,0.962025,0.061592,0.394495
153025,WM,RL,0.634189,0.069245,0.320388
